"sample1.1"	"sample1.2"	"sample1.3"	"sample2.1"	"sample2.2"	"sample2.3"
"1"	831	585	780	552	847	724
"2"	319	270	345	377	269	369
"3"	740	801	776	722	864	627
"4"	68	76	36	49	47	48
"5"	166	187	174	198	197	182
"6"	806	972	673	837	853	1065
"7"	758	831	801	812	757	748
"8"	203	234	268	249	253	214
"9"	301	241	265	272	267	302
"10"	600	530	514	615	704	655
"11"	537	477	582	528	485	422
"12"	34	49	38	27	46	31
"13"	843	849	942	849	793	945
"14"	102	150	154	139	150	154
"15"	301	251	262	249	211	283
"16"	114	132	107	116	140	106
"17"	779	1020	813	856	811	877
"18"	755	698	697	867	749	949
"19"	52	77	63	67	65	77
"20"	652	823	779	710	706	765
"21"	44	49	53	70	97	100
"22"	41	49	46	101	101	101
"23"	61	40	52	106	97	94
"24"	53	61	46	102	101	90
"25"	42	46	38	119	103	77
